from,to,reprLat,reprLong,title,timePeriodsKeys,featureTypes
29492,333117476,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,802815452,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,44836839,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,357078915,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,961091613,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,990231086,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,316924422,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,960141790,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,361968004,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,227756061,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
