source,target,type
393374,932949218,"settlement, road"
393378,1004,river
393379,856514595,settlement
393379,910399260,settlement
393379,66908841,settlement
393379,393380,settlement
393379,977960860,settlement
393379,967100965,settlement
393379,368355544,settlement
39338,39362,island
393380,1004,river
393381,393513,river
393383,1004,river
393383,383816,river
393383,383804,river
393385,393494,estuary
393385,1004,estuary
393387,788760849,station
393389,394116,river
393390,393421,people
393390,383715,people
393392,967101988,river
393396,788760849,station
393397,393490,settlement
393400,396379,settlement
393404,910399260,"settlement, port"
393404,1004,"settlement, port"
393404,393470,"settlement, port"
393404,393480,"settlement, port"
393404,880538993,"settlement, port"
393405,66908841,settlement
393408,215721934,station
393420,66908841,settlement
393421,66908841,settlement
393421,458593872,settlement
393421,587811162,settlement
393421,106697791,settlement
393421,393390,settlement
393421,196750886,settlement
393421,106697791,settlement
393424,66908841,settlement
393424,166695363,settlement
393425,66908841,settlement
393426,393517,settlement
393427,66908841,"settlement, settlement-modern"
393427,436403,"settlement, settlement-modern"
393427,396393,"settlement, settlement-modern"
393434,910399260,station
393434,393467,station
393436,932949218,settlement
393436,910399260,settlement
393438,688514720,station
393441,788760849,settlement
393441,932949218,settlement
393446,1004,river
39345,39290,"archipelago, island"
393450,1004,river
393459,393475,settlement
393459,1004,settlement
393459,788760849,settlement
393459,396395,settlement
393467,393434,river
393469,167636,river
393469,1004,river
393469,393494,river
393469,167966,river
393469,393492,river
393469,383620,river
393469,383628,river
393469,383636,river
393469,383661,river
393469,383668,river
393469,383681,river
393469,383682,river
393469,383686,river
393469,383708,river
393469,383718,river
393469,383721,river
393469,383723,river
393469,383738,river
393469,383777,river
393469,383790,river
393469,383793,river
393469,383802,river
393469,383562,river
393469,383543,river
393469,383635,river
393469,383568,river
393469,383580,river
393469,383602,river
393470,393494,"marsh-wetland, river"
393470,910399260,"marsh-wetland, river"
393470,393404,"marsh-wetland, river"
393470,393480,"marsh-wetland, river"
393473,932949218,settlement
393473,532772123,settlement
393473,967101988,settlement
393473,567970829,settlement
393473,567970830,settlement
393473,237512727,settlement
393475,1004,river
393475,393459,river
393480,910399260,settlement
393480,393470,settlement
393480,393404,settlement
393480,122702818,settlement
393480,344182764,settlement
393480,344182765,settlement
393480,529754545,settlement
393480,73180225,settlement
393480,51062012,settlement
393480,394116,settlement
393480,861709371,settlement
393482,393513,river
393483,1004,river
393483,393510,river
393483,393495,river
393484,393368,river
39349,39362,water-open
393490,1004,river
393490,394868,river
393490,393397,river
393492,393469,river
393493,393494,station
393494,1004,salt-marsh
393494,393493,salt-marsh
393494,393498,salt-marsh
393494,910399260,salt-marsh
393494,393385,salt-marsh
393494,393469,salt-marsh
393494,393470,salt-marsh
393495,393483,river
393496,393503,river
393498,1004,"settlement, port"
393498,393494,"settlement, port"
393498,910399260,"settlement, port"
39350,746710,people
39350,39423,people
393503,393496,settlement
393505,532772123,river
393505,567970829,river
393505,567970830,river
393510,393483,river
393511,754349602,region
393513,393482,"settlement, theatre"
393513,393381,"settlement, theatre"
393513,788760849,"settlement, theatre"
393516,66908841,station
393517,393426,river
393517,413201,river
39352,50118,water-open
39352,39290,water-open
39352,60022,water-open
39352,642557317,water-open
39352,39305,water-open
39352,39308,water-open
39352,39315,water-open
39352,50592,water-open
39352,59718,water-open
39352,39362,water-open
39352,50178,water-open
39352,59851,water-open
39352,29713,water-open
39352,49903,water-open
39352,59733,water-open
39361,39399,region
39362,39352,archipelago
39362,39349,archipelago
39362,655630899,archipelago
39362,900159789,archipelago
39362,420878173,archipelago
39362,183957763,archipelago
39362,900159787,archipelago
39376,39290,"archipelago, island"
39379,458819047,settlement
39399,39361,cape
39404,39272,island
39409,39290,"settlement, port"
