id,title,timePeriods,size,score,type
570444075,Roman amphitheater at Aeclanum,R,2,1,circle
970563462,Crypt and church of San Lussorio,MM,2,1,circle
87882504,Madānu Canal Gate,NAHTT,3,1,circle
452758807,Egišhurankia,N,5,1,circle
452758808,Ebursasa,N,3,1,circle
979483544,Vicus Victoris,YUNK,2,1,circle
43496934,Ara della Regina,HR,2,1,circle
43496936,Roman baths at Vertillum,R,2,1,circle
141033380,Great City Baths at Salona,RL,2,1,circle
609762511,Temple of Seti I,N,2,1,circle
438960368,Temple of Ramesses II,N,2,1,circle
218039420,Aliphera sanctuary,CH,2,1,circle
534059885,Theater of Cyrene,ACHR,2,1,circle
9547769,Phourni,2M,3,1,circle
9547770,Sklavokampos,2M,2,1,circle
229935391,Nuraghe Su Valsu,2,2,1,circle
100447491,Pons Neronianus,R,3,1,circle
419380619,Meta Sudans,RL,2,1,circle
712477008,Mount Kedros,M,2,1,circle
712477009,Thrypti,M,2,1,circle
422724245,Torre Caetani,MM,3,1,circle
514380156,Sanctuary of Montélu,R,2,1,circle
936919090,Roman castrum at Pyrgi,HR,3,1,circle
467476385,Dinka Settlement Complex,N,3,1,circle
649361735,Ferresanus Portus,R,2,1,circle
852463484,Nuraghe Su Casteddu,2,2,1,circle
835247251,Nuraghe Bruncu Maduli o Bruncu Madugui ,2,2,1,circle
409654967,Melone del Sodo,AC,2,1,circle
266589967,Amphitheater of Durrës,R,2,1,circle
330348886,Poggio Gramignano villa romana,R,2,1,circle
330348887,Villa Redenta,RL,2,1,circle
330348888,"Orticello, Spello",YUNK,2,1,circle
850888151,Linguella Roman villa,RL,2,1,circle
177059114,Great Palace of Constantinople,LEM,5,1,circle
629429885,Sultanahmet Camii,OM,2,1,circle
24547396,Boothby Roman fort,R,2,1,circle
24547397,Nether Denton Roman fort,R,2,1,circle
612970100,Villa of L. Crassius Tertius,R,2,1,circle
773379957,"Cala Minnola, Levanzo, Province de Trapani",HR,2,1,circle
463738468,So-called Grotta Fragapane,LM,2,1,circle
375591100,Temple of Athena at Paestum,CHRLM,2,1,circle
