source,target,type
148168,148236,type2
148168,253855601,type2
148168,167745,type2
148168,167634,type1
148168,148069,type1
148168,167652,type1
148168,167759,type1
148168,177528,type1
148168,148134,type1
148168,167718,type1
148168,148209,type1
148168,177555,type1
148168,148217,type1
148168,148223,type1
148168,167793,type1
148202,148110,type1
148202,150249,type1
148209,148168,type1
148209,246750,type1
148211,148089,type1
148211,148107,type1
148211,148110,type1
148217,148168,type1
148217,507729266,type1
148217,438050385,type1
148222,148242,type1
148223,148168,type1
148223,834876934,type1
148224,148738,type1
148236,148168,type1
148241,167716,type1
148242,147992,type1
148242,148056,type1
148242,148107,type1
148242,148142,type1
148242,148222,type1
148244,147993,type1
148737,148056,type1
148738,148142,type1
148738,244926839,type1
148738,266382050,type1
148738,678272910,type1
149492,147990,type1
149492,834876934,type1
149496,253855601,type1
149496,148076,type1
149496,148738,type1
149499,507729266,type1
149500,54430875,type1
150247,148056,type1
150248,147985,type1
150249,148202,type1
150250,147990,type1
150251,148167,type1
150252,148036,type1
150252,148228,type1
150252,148054,type1
150254,148054,type1
157800,834876934,type1
157802,507729266,type1
157802,157871,type1
157802,157837,type1
157802,158555,type1
157803,507729266,type1
157803,157870,type1
157803,162337,type1
157805,157912,type1
157834,43994933,type1
157836,520858710,type1
157836,246534016,type1
157836,165979068,type1
157837,157879,type1
157837,507729266,type1
157837,157802,type1
157857,157929,type1
157858,157878,type1
157858,160818,type1
157861,157942,type1
157870,157803,type1
157871,157802,type1
157874,157945,type1
157878,1043,type1
157878,157935,type1
157878,288204133,type1
157878,383749,type1
157878,362185575,type1
157878,157858,type1
157878,403226,type1
157879,157837,type1
157906,160817,type1
157907,157929,type1
157912,157805,type1
138724250,129678075,type1
138724250,944349914,type1
41488940,549905270,type1
41488940,359593043,type1
41488940,628982,type1
41488940,907036116,type1
41488940,319432673,type1
713204842,98967,type1
713204842,98921,type1
711765706,423025,type1
680190213,344456,type1
254082752,403280,type1
751079112,707498,type1
559027219,265943,type1
115852119,721417202,type1
133577441,109307,type1
912798,912837,type1
912798,29713,type2
912803,912841,type2
912810,29713,type2
912816,417249577,type2
912816,785376781,type2
912835,912879,type2
912835,903015,type2
912837,912798,type2
912837,574183541,type2
912841,29713,type2
912841,912851,type2
912841,912803,type2
912845,912849,type2
912845,202833934,type2
912849,912964,type2
912849,856859069,type2
912849,54136919,type2
912849,54136920,type2
912849,633091640,type2
912849,633091639,type2
912849,89975947,type2
912849,494566507,type2
912849,413309738,type2
912849,674270,type2
912849,266535322,type2
912849,874721,type2
912849,923122730,type2
912849,223856812,type2
912849,893928,type2
912849,874355,type2
912849,704495840,type2
912849,17634131,type2
912849,912986,type2
912849,912845,type2
912849,457651161,type2
912849,445186090,type2
912849,893951,type1
912849,481573620,type1
912849,893990,type1
912849,767486703,type1
912849,92607494,type1
912849,658465,type1
912849,703315102,type1
912849,897717,type1
912849,752688395,type1
912849,658473968,type1
912849,541602250,type1
912849,945906723,type1
912849,945906724,type1
912849,658562,type1
912851,912841,type1
912855,202833934,type1
912872,912905,type1
912879,29713,type1
912879,912835,type1
912881,912810,type1
912897,477553842,type1
912897,175425813,type1
912905,912872,type1
912910,897225061,type1
912910,288695456,type1
912935,912964,type1
905076845,383717,type1
212270979,560353,type1
212270979,560221,type1
212270979,734000266,type1
305841487,423025,type1
179549802,530843,type1
341857013,246728,type1
704495840,893951,type1
704495840,633091640,type1
704495840,912849,type1
704495840,202833933,type2
704495840,897225060,type2
897449051,893951,type2
