from,timePeriodsKeys
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
297475,roman
29816,"hellenistic-republican,roman"
29816,"hellenistic-republican,roman"
30205,"hellenistic-republican,roman"
30206,"classical,hellenistic-republican,roman"
30207,"roman,late-antique"
30208,"hellenistic-republican,roman"
30209,late-antique
30216,"classical,hellenistic-republican"
30221,"classical,hellenistic-republican,roman,late-antique"
30223,"hellenistic-republican,roman"
30242,"classical,hellenistic-republican,roman"
30243,"hellenistic-republican,roman"
30256,
30257,"hellenistic-republican,roman"
30269,"classical,hellenistic-republican"
30270,"hellenistic-republican,roman"
30273,"hellenistic-republican,roman"
30279,"classical,hellenistic-republican,roman"
305026,"archaic,classical,hellenistic-republican"
305026,"archaic,classical,hellenistic-republican"
475264756,mediaeval-byzantine
219854861,4th-millenium-bce
316390354,4th-millenium-bce
522588456,late-antiquity-in-central-asia
337124895,"achaemenid-central-asia,roman"
168208659,roman
168208661,roman
392649590,archaic
503211161,classical
236701131,late-antique
236701133,modern
236701133,modern
236701133,modern
786609869,mediaeval-byzantine
794026197,neo-assyrian-babylonian-middle-east
794026197,neo-assyrian-babylonian-middle-east
794026198,
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
37101101,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
522605291,neo-assyrian-babylonian-middle-east
648980580,"hellenistic-middle-east,roman-early-empire-parthian-middle-east"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
