id,title,size,linkType
912935,Shaur/Choaspes?/Eulaeus?/Uknu? (river),2,type1
905076845,"Roman walls, Novaria",2,type1
212270979,Daskalio,3,type1
305841487,Tomba della Medusa (Roma),2,type1
179549802,Theater of Pyrrhus,2,type1
341857013,Vasconum saltus,2,type1
704495840,Enlil Gate,3,type1
897449051,King's Gate,2,type1
510139757,Šūhi Canal Gate,2,type1
124694415,Giššu Gate,2,type1
124694416,Sun of the Gods Gate,2,type1
133324175,Ešiddukišara,1,type1
774894386,Nuraghe S'Urachi,2,type1
486975583,Fossa Traiana,2,type1
445545537,Forum Iulium,3,type1
502004233,House of Sallust,2,type1
134485260,tribus Esquilina,2,type1
489062160,House of the Small Fountain,2,type1
236993544,Roman villa at Verige Bay,2,type1
540898685,Temple of Minerva Medica,3,type1
926033983,Via Claudia Nova,10,type2
552440217,Via Claudia Valeria,7,type1
570444075,Roman amphitheater at Aeclanum,2,type1
970563462,Crypt and church of San Lussorio,2,type1
87882504,Madānu Canal Gate,2,type1
452758807,Egišhurankia,1,type1
452758808,Ebursasa,1,type1
979483544,Vicus Victoris,2,type1
43496934,Ara della Regina,2,type1
43496936,Roman baths at Vertillum,2,type1
141033380,Great City Baths at Salona,2,type1
609762511,Temple of Seti I,2,type1
438960368,Temple of Ramesses II,1,type1
218039420,Aliphera sanctuary,2,type1
534059885,Theater of Cyrene,2,type1
9547769,Phourni,3,type1
9547770,Sklavokampos,2,type1
229935391,Nuraghe Su Valsu,2,type1
100447491,Pons Neronianus,3,type1
419380619,Meta Sudans,2,type1
712477008,Mount Kedros,2,type1
712477009,Thrypti,2,type1
422724245,Torre Caetani,3,type1
514380156,Sanctuary of Montélu,2,type1
936919090,Roman castrum at Pyrgi,3,type1
467476385,Dinka Settlement Complex,3,type1
649361735,Ferresanus Portus,2,type1
852463484,Nuraghe Su Casteddu,2,type1
835247251,Nuraghe Bruncu Maduli o Bruncu Madugui ,2,type1
409654967,Melone del Sodo,2,type1
266589967,Amphitheater of Durrës,2,type1
330348886,Poggio Gramignano villa romana,2,type1
330348887,Villa Redenta,2,type1
330348888,"Orticello, Spello",2,type1
850888151,Linguella Roman villa,2,type1
177059114,Great Palace of Constantinople,4,type1
629429885,Sultanahmet Camii,2,type1
24547396,Boothby Roman fort,2,type1
24547397,Nether Denton Roman fort,2,type1
612970100,Villa of L. Crassius Tertius,2,type1
773379957,"Cala Minnola, Levanzo, Province de Trapani",2,type1
463738468,So-called Grotta Fragapane,2,type1
375591100,Temple of Athena at Paestum,2,type1
865200669,Forum of Paestum,2,type1
416452801,Lake Tana,2,type1
442917179,Panagia Aggeloktisti,2,type1
354112,Fauces Garamanticae,2,type1
354115,Garama Metropolis,1,type1
354116,Garamantes,2,type1
363931,Austuriani,2,type1
364021,Tautamei?,3,type1
373732,Apollonia/Sozousa,10,type2
373750,Barke,2,type1
373757,Berenice,7,type1
373777,Cyrenaica (region),2,type1
373778,Cyrene,15,type2
373780,Darnis,2,type1
373861,Nasamones,2,type1
373868,Paliouros,1,type1
373870,Phaia,1,type1
373874,Plateia,2,type1
373875,Plateia? Ins.,2,type1
373879,Ptolemais/Barkes Limen,3,type1
375997,Untitled,3,type1
376001,Cyrene - Apollonia Road,2,type1
383543,Addua (river),2,type1
383544,Ad Figlinas,2,type1
383547,Ad Fonteclos,2,type1
383556,Ad Tarum,3,type1
383562,Agunia (river),2,type1
383564,Alba Pompeia,3,type1
383568,Amalune (river),2,type1
383570,Andes,2,type1
383574,Aquae Statiellae,2,type1
383578,Augusta Bagiennorum,5,type1
383579,Augusta Praetoria,6,type1
383580,Augusta Taurinorum,6,type1
383584,Bedriacum,2,type1
383587,Benacus (lake),2,type1
383589,Bergomum,2,type1
383590,Betuctelum? (river),3,type1
383602,Brixellum,2,type1
383603,Brixia,4,type1
383609,Canalicum,4,type1
383611,Carreum Potentia,2,type1
383617,*Civitas Camunnorum,2,type1
383618,Clastidium,3,type1
383620,Clesus (river),2,type1
383624,[Comacina] (island),2,type1
383626,‘Comeli magus’,2,type1
383628,Cremona,3,type1
383633,Dertona,6,type1
383635,Duria (Bautica) (river),5,type1
383636,Duria (river),2,type1
383642,Eporedia,3,type1
383645,Eupilis L.,2,type1
383648,Fidentia,3,type1
383649,Florenti(ol)a,2,type1
383651,Forum Fulvii Valentinum,2,type1
383653,*Forum Germanici,2,type1
383661,Gabellus/*Secia (river),2,type1
383664,Genua,3,type1
383668,Hadra (river),2,type1
383670,Hasta,2,type1
383676,Incia (river),3,type1
383678,Insubres,2,type1
383680,Iria/Forum Iulii Iriensium,4,type1
383681,Ir(i)a (river),3,type1
383682,Iria (river),3,type1
383686,Lambrus (river),4,type1
383689,Larius/Comacinus L.,2,type1
383691,Laus Pompeia,2,type1
383694,Libarna,2,type1
383698,Liguria (region),5,type1
383704,Mantua,4,type1
383706,Mediolan(i)um,6,type1
383708,Mincius (river),4,type1
383715,Mutina,5,type1
383717,Novaria,4,type1
383718,Nure (river),3,type1
383721,Ollius (river),2,type1
383722,Olonna (river),2,type1
383723,Orgus (river),2,type1
383729,Pagus Ambitrebius,2,type1
383737,Parma,3,type1
383738,Parma (river),2,type1
383740,Pedo(na),3,type1
383741,Placentia,6,type1
383745,Pollentia,4,type1
383749,Porcibera (river),2,type1
383755,Regium Lepidum,3,type1
383758,Ricina,2,type1
383763,Sabini,2,type1
383777,Sesites (river),2,type1
383781,Sirmio,3,type1
383783,Statielli,3,type1
383790,Tanarus (river),4,type1
383791,Tannetum,2,type1
383793,Tarus (river),3,type1
383798,Ticinum,2,type1
