source,target
348371058,50298
449007780,433032
449007780,984330151
629225363,452369
204528069,452369
378979377,471987
328100889,422995
694364581,570474
990568323,639147
894727084,771725842
894727084,423025
502577470,462489
502577471,462489
502577472,79574
569006287,442733
689046103,422822
195092807,423025
226302607,423025
226302607,697163696
748146994,579047271
750203268,579885
750203268,638356144
354239692,423012
354239693,373778
421330490,462244
963047542,836839127
662332233,432618
662332233,419672523
662332233,812127750
662332233,432873
662332233,432815
662332233,433014
662332233,433101
662332233,432621
662332233,432705
662332234,433101
24736652,403212
237645058,20487
947227732,697757
303354808,894019
303354808,309437155
303354808,439136375
584375361,298351810
729310593,472014
729310594,472014
769742546,423025
151473899,413179
229670928,413328
229670928,413025
229670928,447759107
673471798,423025
673471798,679976755
713767971,963537714
210745099,599587
210745099,599587
762647722,628982
762647722,629008
762647722,522605291
762647722,100544804
762647722,319432673
762647722,214160492
319432673,270123727
319432673,25078867
319432673,628982
319432673,100544804
319432673,629008
319432673,522605291
319432673,988674926
319432673,762647722
319432673,37101101
319432673,41488940
319432673,988674927
319432673,549905270
319432673,359593043
319432673,911351381
319432673,648980581
319432673,214160492
319432673,129678075
319432673,56567731
129678075,311078476
129678075,138724250
129678075,652445664
129678075,270123727
129678075,319432673
129678075,628982
129678075,195325997
129678075,17658595
129678075,57893804
129678075,405745229
129678075,407444302
129678075,57893805
129678075,125566441
129678075,927221529
129678075,648801
129678075,911351381
129678075,648980581
129678075,357078915
129678075,944349915
129678075,944349914
129678075,907036116
129678075,56567731
944349914,407444302
944349914,138724250
944349914,911351382
944349914,648789
944349914,648555
944349914,129678075
944349914,652445664
944349914,944349915
944349914,1043
944349914,648601
944349915,726944833
944349915,911351382
944349915,648555
944349915,658538
944349915,605795336
944349915,257997170
944349915,653377581
944349915,652445664
944349915,505963016
944349915,930131678
944349915,648789
944349915,852464630
944349915,321601069
944349915,944349914
944349915,129678075
944349915,726944834
944349915,648548
944349915,726944832
944349915,648600
944349915,303882989
944349915,56567731
303882989,321601069
303882989,258957385
303882989,944349915
303882989,227756061
303882989,192555966
303882989,648980581
303882989,56567731
795920320,479893606
792436981,11924821
792436981,433032
796289136,800113525
796289136,945930913
796289136,945930914
796289136,892575223
796289136,393558281
796289136,989554833
796289136,577587624
796289136,154462177
796289136,922537087
796289136,736963
853662205,590074
645513764,109361
434822371,256177
663803333,256177
364712046,570420
818633083,599587
55417173,491741
74062405,491741
687957706,413328
347507191,256058
580732678,256058
534036732,678010
453093030,639042
65323470,531013
302942693,265810
171953680,403255
236087657,572631626
340380318,433032
340380318,984330151
387880487,433032
387880487,762217869
83055,79639
83055,79574
83055,79395
83056,79574
83056,79393
834296,398214850
834296,997535409
834296,884130
834876934,246363
834876934,157925
834876934,147990
834876934,149492
834876934,147993
834876934,157800
834876934,148081
834876934,246566
834876934,167691
834876934,167701
834876934,148120
834876934,246347
834876934,88537488
834876934,167750
834876934,148223
837,599479
837,599575
837,844856
837,844879
837,844926
837,844944
837,550701
837,730120528
837,550812
837,550822
837,650309285
837,550823
837,550826
837,35475912
837,619163
837,550893
